Date,State,State_Code,District,District_Code,Confirmed,Active,Recovered,Deceased,Under_Observation,Home_Isolation,Symptomatic_Hospitalized,Symptomatic_Hospitalized_Today
12-02-2020,Kerala,32,Kollam,600,0,0,0,0,192,190,2,135
12-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,65,65,0,33
12-02-2020,Kerala,32,Idukki,596,0,0,0,0,33,33,0,16
12-02-2020,Kerala,32,Kottayam,597,0,0,0,0,88,88,0,27
12-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,177,176,1,82
12-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,333,333,0,91
12-02-2020,Kerala,32,Thrissur,594,1,1,0,0,235,229,6,77
12-02-2020,Kerala,32,Palakkad,593,0,0,0,0,119,118,1,47
12-02-2020,Kerala,32,Malappuram,592,0,0,0,0,281,277,4,143
12-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,266,262,4,134
12-02-2020,Kerala,32,Wayanad,590,0,0,0,0,50,50,0,23
12-02-2020,Kerala,32,Kannur,589,0,0,0,0,193,191,2,129
12-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,84,83,1,24
13-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,344,339,5,8
13-02-2020,Kerala,32,Kollam,600,0,0,0,0,180,178,2,15
13-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,56,56,0,9
13-02-2020,Kerala,32,Idukki,596,0,0,0,0,25,25,0,8
13-02-2020,Kerala,32,Kottayam,597,0,0,0,0,87,87,0,2
13-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,169,169,0,9
13-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,337,337,0,5
13-02-2020,Kerala,32,Thrissur,594,1,1,0,0,210,206,4,25
13-02-2020,Kerala,32,Palakkad,593,0,0,0,0,117,116,1,2
13-02-2020,Kerala,32,Malappuram,592,0,0,0,0,290,287,3,9
13-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,249,245,4,20
13-02-2020,Kerala,32,Wayanad,590,0,0,0,0,50,50,0,0
13-02-2020,Kerala,32,Kannur,589,0,0,0,0,202,200,2,5
13-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,81,80,1,5
14-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,297,293,4,51
14-02-2020,Kerala,32,Kollam,600,0,0,0,0,174,172,2,8
14-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,55,55,0,1
14-02-2020,Kerala,32,Idukki,596,0,0,0,0,26,26,0,0
14-02-2020,Kerala,32,Kottayam,597,0,0,0,0,87,87,0,1
14-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,170,170,0,0
14-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,329,328,1,10
14-02-2020,Kerala,32,Thrissur,594,1,1,0,0,199,196,3,12
14-02-2020,Kerala,32,Palakkad,593,0,0,0,0,116,116,0,1
